species
Ananas comosus
Carex myosuroides
Typha latifolia
Carex littledalei
Bolboschoenus planiculmis
Rhynchospora tenuis
Rhynchospora pubera
Rhynchospora breviuscula
Cyperus esculentus
Carex kokanica
Carex cristatella
Carex scoparia
Carex parvula
Juncus effusus
Luzula sylvatica
Juncus inflexus
Fagopyrum tataricum
Dianthus caryophyllus
Amaranthus tricolor
Silene conica
Agrostemma githago
Polygonum aviculare
Spergularia bocconei
Chenopodium quinoa
Silene latifolia subsp. alba
Petunia axillaris subsp. axillaris
Petunia secreta
Gypsophila paniculata
Silene noctiflora
Drosera capensis
Silene uniflora
Carnegiea gigantea
Heliosperma pusillum
Silene coronaria
Beta vulgaris subsp. vulgaris
Spinacia oleracea
Cornus controversa
Nyssa sinensis
Hydrangea macrophylla
Cornus florida
Coptis chinensis
Aquilegia coerulea
Thalictrum thalictroides
Geranium maculatum
Arabis alpina
Draba incana
Capsella bursa-pastoris
Alliaria petiolata
Cardamine resedifolia
Biscutella laevigata subsp. laevigata
Sisymbrium altissimum
Arabidopsis thaliana
Avena sativa
Triticum aestivum
Hordeum vulgare subsp. vulgare
Lolium perenne
Alopecurus myosuroides
Poa annua
Dactylis glomerata
Lactuca sativa
Helianthus annuus
Cichorium intybus
Glebionis coronaria
Chrysanthemum lavandulifolium
Artemisia annua
Tanacetum coccineum
Senecio squalidus
Oryza sativa
Medicago truncatula
