Species;Status
Pilosella officinarium;Mycorhizal
Biscutella laevigata;Non-mycorhizal
Atocion rupestre;Non-mycorhizal
Carex sempervirens;Non-mycorhizal
Geranium sylvaticum;Mycorhizal
Nardus stricta;Mycorhizal
Jacobaea incana;Mycorhizal
Cardamine resedifolia;Non-mycorhizal
Avenella flexuosa;Mycorhizal
Pulsatilla verna;Mycorhizal
Matricaria chamomilla;Mycorhizal
Capsella bursa-pastoris;Non-mycorhizal
Stellaria graminea;Non-mycorhizal
Carex hirta;Non-mycorhizal
Geranium dissectum;Mycorhizal
Agrostis capillaris;Mycorhizal
Crepis bursiflora;Mycorhizal
Sisymbrium officinalis;Non-mycorhizal
Silene latifolia;Non-mycorhizal
Carex spicata;Non-mycorhizal
Carex divulsa;Non-mycorhizal
Geranium molle;Mycorhizal
Hordeum murcinum;Mycorhizal
Taraxacum sp.;Mycorhizal
Arabis alpina;Non-mycorhizal
Minuartia verna;Non-mycorhizal
Poa alpina;Mycorhizal
Anemone baldensis;Mycorhizal
Leucanthemopsis alpina;Mycorhizal
Draba aizoides;Non-mycorhizal
Silene acaulis;Non-mycorhizal
Carex curvula;Non-mycorhizal
Alopecurus gerardi;Mycorhizal
Lapsana communis;Mycorhizal
Alliaria petiolata;Non-mycorhizal
Cerastium holosteoides;Non-mycorhizal
Geranium robertianum;Mycorhizal
Dactylis glomerata;Mycorhizal
